epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.622,1.29384,0.8547,1.07681,0.95184,0.96961,0.98064,0.74852,0.88369,0.64768,0.93164,0.000554392,0.000554392,0.000554392
2,378.932,0.87982,0.52044,0.89928,0.96307,0.96822,0.98695,0.81773,0.73294,0.51255,0.87872,0.00108808,0.00108808,0.00108808
3,552.079,0.78874,0.47982,0.87486,0.97126,0.97078,0.99029,0.83806,0.63879,0.42098,0.85067,0.00159976,0.00159976,0.00159976
4,723.617,0.69898,0.43654,0.85567,0.97394,0.97661,0.9928,0.8807,0.54627,0.35456,0.82664,0.00156798,0.00156798,0.00156798
5,895.265,0.64866,0.41634,0.84464,0.97716,0.97315,0.99159,0.89986,0.49237,0.31296,0.81384,0.00153497,0.00153497,0.00153497
6,1067.96,0.60963,0.39033,0.83659,0.98705,0.97056,0.9938,0.90479,0.47307,0.30369,0.80951,0.00150197,0.00150197,0.00150197
7,1240.91,0.57686,0.37832,0.82987,0.9788,0.97373,0.99269,0.90813,0.4511,0.28998,0.80149,0.00146896,0.00146896,0.00146896
8,1412.56,0.54584,0.37059,0.82287,0.97756,0.9749,0.99295,0.91704,0.42871,0.37833,0.79811,0.00143595,0.00143595,0.00143595
9,1584.61,0.5403,0.35853,0.82244,0.97088,0.99052,0.99374,0.91682,0.42477,0.27242,0.79614,0.00140295,0.00140295,0.00140295
10,1755.23,0.52015,0.34388,0.81882,0.98161,0.98755,0.98729,0.92204,0.4005,0.45498,0.79157,0.00136994,0.00136994,0.00136994
11,1926.89,0.50685,0.34015,0.81597,0.98985,0.99039,0.99447,0.93859,0.37504,0.26559,0.7848,0.00133693,0.00133693,0.00133693
12,2097.89,0.49139,0.3267,0.81339,0.98256,0.98684,0.99389,0.93444,0.38576,0.31184,0.78814,0.00130393,0.00130393,0.00130393
13,2269.1,0.4796,0.32158,0.811,0.99377,0.99446,0.9946,0.94731,0.3501,0.2264,0.78011,0.00127092,0.00127092,0.00127092
14,2440.62,0.46236,0.30961,0.80903,0.98476,0.98771,0.99393,0.94456,0.35076,0.23132,0.78054,0.00123791,0.00123791,0.00123791
15,2611.61,0.44888,0.30529,0.8052,0.99729,0.99718,0.99468,0.95239,0.32966,0.21905,0.77682,0.00120491,0.00120491,0.00120491
16,2782.75,0.44291,0.30153,0.80467,0.99239,0.99345,0.99446,0.95111,0.33065,0.27736,0.77671,0.0011719,0.0011719,0.0011719
17,2953.21,0.436,0.29577,0.80346,0.99582,0.99511,0.99474,0.95445,0.31571,0.21087,0.77413,0.00113889,0.00113889,0.00113889
18,3123.28,0.42233,0.28232,0.80107,0.99876,0.99878,0.99479,0.96877,0.29048,0.19726,0.77097,0.00110589,0.00110589,0.00110589
19,3294,0.41702,0.28535,0.80045,0.99847,0.99873,0.99468,0.96676,0.28816,0.19622,0.76977,0.00107288,0.00107288,0.00107288
20,3466.4,0.40536,0.27602,0.79887,0.99695,0.99769,0.99467,0.97061,0.27517,0.19634,0.76843,0.00103987,0.00103987,0.00103987
